Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Education,student,grade,semester,college,high_school,education,online,academic,stress,campus,learn,learning,faculty,mental_health,exam,course,grading,pandemic,study,environment,student grade semester college high_school education online academic stress campus learn learning faculty mental_health exam course grading pandemic study environment
Women's right,woman,man,rape,sexual,girl,victim,abuse,female,violence,gender,sexual_assault,harassment,sex,assault,right,birth,mother,pregnant,lgbt,survivor,woman man rape sexual girl victim abuse female violence gender sexual_assault harassment sex assault right birth mother pregnant lgbt survivor
Education,school,high_school,education,school_board,coronavirus,parent,learning,safe,middle_school,elementary_school,lunch,elementary,safety,building,learn,charter,academy,shooting,closure,holiday,school high_school education school_board coronavirus parent learning safe middle_school elementary_school lunch elementary safety building learn charter academy shooting closure holiday
Animal protection,animal,abuse,cruelty,shelter,pet,kill,cat,care,rescue,cruel,cage,die,farm,law,torture,horse,test,welfare,treat,wildlife,animal abuse cruelty shelter pet kill cat care rescue cruel cage die farm law torture horse test welfare treat wildlife
Education,graduation,ceremony,graduate,high_school,virtual,prom,work,traditional,parent,field,social_distancing,class,in-person,celebration,memory,summer,stadium,football,outdoor,guest,graduation ceremony graduate high_school virtual prom work traditional parent field social_distancing class in person celebration memory summer stadium football outdoor guest
Justice,police,officer,police_officer,law_enforcement,brutality,justice,shoot,arrest,fire,kill,citizen,murder,george_floyd,camera,protect,death,investigation,training,mayor,charge,police officer police_officer law_enforcement brutality justice shoot arrest fire kill citizen murder george_floyd camera protect death investigation training mayor charge
Sport,game,player,play,football,nfl,developer,online,league,basketball,ban,money,buy,franchise,content,map,fan,purchase,duty,team,app,game player play football nfl developer online league basketball ban money buy franchise content map fan purchase duty team app
Children's right,child,parent,education,mother,abuse,father,right,learning,mask,learn,baby,daughter,protect,childcare,care,son,custody,safe,safety,court,child parent education mother abuse father right learning mask learn baby daughter protect childcare care son custody safe safety court
City,park,resident,area,road,neighborhood,traffic,property,skatepark,build,land,parking,car,building,drive,safety,vehicle,lake,residential,space,safe,park resident area road neighborhood traffic property skatepark build land parking car building drive safety vehicle lake residential space safe
Animal protection,dog,pet,owner,cat,breed,puppy,shelter,meat,rescue,law,park,slaughter,kill,attack,control,food,vet,ban,care,play,dog pet owner cat breed puppy shelter meat rescue law park slaughter kill attack control food vet ban care play
Women's right,dress_code,girl,wear,boy,clothing,shoulder,female,dress,shirt,clothe,high_school,hair,mask,uniform,teach,gender,skin,wear_mask,control,leg,dress_code girl wear boy clothing shoulder female dress shirt clothe high_school hair mask uniform teach gender skin wear_mask control leg
Education,university,campus,tuition,semester,college,faculty,online,professor,fee,refund,housing,course,president,graduate,covid-19,online_class,class_online,alumnus,academic,education,university campus tuition semester college faculty online professor fee refund housing course president graduate covid 19 online_class class_online alumnus academic education
Politics,vote,president,election,trump,right,government,law,citizen,united_states,bill,donald_trump,congress,candidate,constitution,political,elect,senate,board,u.s,senator,vote president election trump right government law citizen united_states bill donald_trump congress candidate constitution political elect senate board senator
Economic Justice,pay,work,employee,worker,business,company,job,money,rent,customer,small_business,industry,store,food,pandemic,bill,unemployment,payment,restaurant,fee,pay work employee worker business company job money rent customer small_business industry store food pandemic bill unemployment payment restaurant fee
Covid,covid-19,virus,health,coronavirus,mask,patient,pandemic,healthcare,hospital,governor,medical,mandate,safe,protect,safety,disease,care,wear_mask,test,outbreak,covid 19 virus health coronavirus mask patient pandemic healthcare hospital governor medical mandate safe protect safety disease care wear_mask test outbreak
Sport,sport,team,play,high_school,season,athlete,coach,football,player,field,athletic,basketball,league,youth,club,soccer,baseball,compete,college,practice,sport team play high_school season athlete coach football player field athletic basketball league youth club soccer baseball compete college practice
Education,teacher,teach,learning,education,classroom,learn,work,parent,board,virtual,grade,remote,teaching,educator,in-person,job,hybrid,school_board,online,distance,teacher teach learning education classroom learn work parent board virtual grade remote teaching educator in person job hybrid school_board online distance
Education,class,grade,semester,course,online,college,work,learn,online_class,professor,graduate,in-person,grading,exam,stress,teach,class_online,credit,gpa,pandemic,class grade semester course online college work learn online_class professor graduate in person grading exam stress teach class_online credit gpa pandemic
Justice,black,racism,racist,racial,statue,white,color,africa,race,hate,black_life,diversity,confederate,culture,mascot,education,black_people,teach,monument,slavery,black racism racist racial statue white color africa race hate black_life diversity confederate culture mascot education black_people teach monument slavery
Environment,plastic,food,ban,water,ocean,waste,environment,pollution,planet,fish,environmental,bag,earth,company,chemical,trash,wildlife,store,restaurant,climate_change,plastic food ban water ocean waste environment pollution planet fish environmental bag earth company chemical trash wildlife store restaurant climate_change
Entertainment,fan,season,movie,series,netflix,music,disney,watch,film,amp,episode,song,video,star,youtube,franchise,channel,artist,content,band,fan season movie series netflix music disney watch film amp episode song video star youtube franchise channel artist content band
Justice,justice,prison,sentence,crime,murder,man,charge,son,court,father,judge,victim,law,mother,trial,inmate,arrest,kill,evidence,brother,justice prison sentence crime murder man charge son court father judge victim law mother trial inmate arrest kill evidence brother
Children's right,kid,parent,skatepark,learn,youth,work,right,play,safe,holiday,homework,watch,summer,lunch,build,bus,son,mental_health,covid,youtube,kid parent skatepark learn youth work right play safe holiday homework watch summer lunch build bus son mental_health covid youtube
