Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Education,classe,élève,effectif,rentrée,parent_élève,enseignant,maternelle,enseignement,surcharger,école_maternelle,apprentissage,enfant,éducation_national,mobiliser,école_élémentaire,difficulté,académique,pédagogique,inspection_académique,apprendre,classe élève effectif rentrée parent_élève enseignant maternelle enseignement surcharger école_maternelle apprentissage enfant éducation_national mobiliser école_élémentaire difficulté académique pédagogique inspection_académique apprendre
Droit des femmes,femme,justice,violence,victime,fille,famille,homme,police,sexuel,policier,plainte,acte,prison,viol,mère,mort,crime,père,droit,affaire,femme justice violence victime fille famille homme police sexuel policier plainte acte prison viol mère mort crime père droit affaire
Protection Animale,animal,cirque,maltraitance,animal_sauvage,spectacle,cage,interdire,souffrance,élevage,humain,cruauté,espèce,cheval,vétérinaire,interdiction,refuge,loi,bien-être_animal,maltraiter,protection_animal,animal cirque maltraitance animal_sauvage spectacle cage interdire souffrance élevage humain cruauté espèce cheval vétérinaire interdiction refuge loi bien être_animal maltraiter protection_animal
Education,étudiant,université,examen,cours,partiel,présentiel,semestre,distance,universitaire,étude,formation,faculté,distanciel,enseignement,session,épreuve,professeur,stage,licence,master,étudiant université examen cours partiel présentiel semestre distance universitaire étude formation faculté distanciel enseignement session épreuve professeur stage licence master
Mobilité,route,véhicule,vitesse,circulation,sécurité,voiture,riverain,piéton,accident,voie,chemin,vélo,trottoir,automobiliste,piste_cyclable,cycliste,trafic,aménagement,dangereux,sécuriser,route véhicule vitesse circulation sécurité voiture riverain piéton accident voie chemin vélo trottoir automobiliste piste_cyclable cycliste trafic aménagement dangereux sécuriser
Droit de l’enfance,enfant,parent,famille,scolaire,handicap,maman,adulte,cantine,parent_enfant,port_masque,scolariser,enseignant,maternelle,droit,apprentissage,mère,accueil,père,fille,enfance,enfant parent famille scolaire handicap maman adulte cantine parent_enfant port_masque scolariser enseignant maternelle droit apprentissage mère accueil père fille enfance
Protection Animale,chien,propriétaire,canin,maître,vétérinaire,animal,refuge,promener,plage,compagnon,ami,patte,euthanasie,voisin,récupérer,animal_compagnie,plainte,loi,race,spa,chien propriétaire canin maître vétérinaire animal refuge promener plage compagnon ami patte euthanasie voisin récupérer animal_compagnie plainte loi race spa
Education,élève,lycée,épreuve,bac,professeur,cours,établissement,enseignement,baccalauréat,enseignant,lycéen,réforme,examen,contrôle_continu,scolaire,spécialité,oral,terminal,éducation_national,programme,élève lycée épreuve bac professeur cours établissement enseignement baccalauréat enseignant lycéen réforme examen contrôle_continu scolaire spécialité oral terminal éducation_national programme
Santé,hôpital,santé,patient,médecin,soin,soignant,médical,infirmier,urgence,soigner,maladie,traitement,hospitalier,professionnel,malade,lit,public,centre,médecine,médicament,hôpital santé patient médecin soin soignant médical infirmier urgence soigner maladie traitement hospitalier professionnel malade lit public centre médecine médicament
Education,école,enseignant,scolaire,parent_élève,poste,ecolé,parent,mairie,éducation,public,enseignement,pédagogique,village,équipe,rentrée,atsem,maternelle,apprentissage,directeur,conseil,école enseignant scolaire parent_élève poste ecolé parent mairie éducation public enseignement pédagogique village équipe rentrée atsem maternelle apprentissage directeur conseil
